window,indicator,acc,r2,pearson,spearman,ic,win,sharpe
8,wick_reversal_signal,0.5242157713940584,3.4762297478896365e-05,0.005895956027550278,0.005984238727452655,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
9,wick_reversal_signal,0.5257257181684346,3.1345662636295124e-05,0.005598719731890925,0.00870433383005899,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
10,wick_reversal_signal,0.5238760333698237,4.077035403282636e-06,0.0020191670072971894,0.0026507116305750926,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
11,wick_reversal_signal,0.527537654297686,8.331428349106496e-06,0.0028864213741328004,0.0041848946809526395,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
12,wick_reversal_signal,0.5260654561926692,3.5792937920220425e-06,0.0018919021623308874,0.007189770176871027,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
13,wick_reversal_signal,0.5285191197010305,1.0174859981226803e-06,0.001008705109611718,0.003850052728333912,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
14,wick_reversal_signal,0.5311992752255483,1.542333384152439e-05,0.003927255255474477,0.0067954222741794384,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
15,wick_reversal_signal,0.5328979653467215,8.968604129577784e-06,0.0029947627835339653,0.0028622954006909777,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
16,wick_reversal_signal,0.5308972858706731,2.415997134130876e-06,0.0015543478163253703,0.0008459416348204423,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
17,wick_reversal_signal,0.5319542486127364,4.118742181868917e-06,0.00202946844806688,0.0010980825172693328,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
18,wick_reversal_signal,0.5328979653467215,4.943968275328281e-06,0.0022235036036404978,0.0025219621131266083,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
19,wick_reversal_signal,0.5344079121210977,4.31341220685777e-06,0.0020768755877203773,0.000524814336914075,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
20,wick_reversal_signal,0.5343701634517384,3.9553033489569955e-06,0.0019887944461564784,0.002644004824504642,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
21,wick_reversal_signal,0.5338416820807067,1.3046690430118524e-05,0.0036120202698932784,0.003235268840329568,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
22,wick_reversal_signal,0.5348231474840512,1.2862082031661615e-05,0.0035863744968678882,0.005798661213819773,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
23,wick_reversal_signal,0.5328979653467215,2.779933847951721e-05,0.005272507797964892,0.006521729130783862,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
24,wick_reversal_signal,0.5351628855082858,2.982154209552057e-05,0.005460910372386393,0.0075080191866389095,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
1,sma_50,0.5090764692534604,3.30377132174986e-05,-0.005747844223488275,0.016203444454493145,0.0020523918937531854,0.5090957225520971,0.5140707852293466
2,sma_50,0.512555782467287,6.515830659648003e-05,-0.008072069536159734,0.0181636654052682,0.0020523918937531854,0.5090957225520971,0.5140707852293466
3,sma_50,0.5177369336661372,9.967684228129325e-05,-0.00998382903906343,0.025920055848597127,0.0020523918937531854,0.5090957225520971,0.5140707852293466
4,sma_50,0.5187958550790409,0.00013472172286244088,-0.011606968719806737,0.027765298134797483,0.0020523918937531854,0.5090957225520971,0.5140707852293466
5,sma_50,0.5211406096361848,0.00017146324611494457,-0.013094397508662932,0.02502899759737177,0.0020523918937531854,0.5090957225520971,0.5140707852293466
6,sma_50,0.5203842371983964,0.00020840946221412082,-0.01443639367065941,0.02022357594144891,0.0020523918937531854,0.5090957225520971,0.5140707852293466
7,sma_50,0.5206489675516224,0.00024357888089321378,-0.015607013836513778,0.01762566703661022,0.0020523918937531854,0.5090957225520971,0.5140707852293466
8,sma_50,0.5243930111186749,0.00027740547465904264,-0.01665549382813527,0.026769246747666994,0.0020523918937531854,0.5090957225520971,0.5140707852293466
9,sma_50,0.5259813932380304,0.000310624651638447,-0.017624546849166617,0.02724795889721885,0.0020523918937531854,0.5090957225520971,0.5140707852293466
10,sma_50,0.5242039180092277,0.00034315157527720075,-0.01852435087330316,0.026130479996074457,0.0020523918937531854,0.5090957225520971,0.5140707852293466
11,sma_50,0.5279101429543908,0.00037628450077853426,-0.019398054046179072,0.02928067588433159,0.0020523918937531854,0.5090957225520971,0.5140707852293466
12,sma_50,0.5263217608350351,0.0004092738904664106,-0.02023051878886213,0.028915651486887874,0.0020523918937531854,0.5090957225520971,0.5140707852293466
13,sma_50,0.5287421526359579,0.0004432456615593994,-0.02105340023748643,0.03299410603178626,0.0020523918937531854,0.5090957225520971,0.5140707852293466
14,sma_50,0.5314650934119961,0.0004750013705828726,-0.021794526161011053,0.03710687783796099,0.0020523918937531854,0.5090957225520971,0.5140707852293466
15,sma_50,0.5332047500189093,0.0005073166059950118,-0.02252368988409887,0.038630034220635996,0.0020523918937531854,0.5090957225520971,0.5140707852293466
16,sma_50,0.5312381816806595,0.0005402127302757131,-0.023242476853289316,0.03547627188527755,0.0020523918937531854,0.5090957225520971,0.5140707852293466
17,sma_50,0.5322971030935633,0.0005715737030747015,-0.023907607640134155,0.03631156059317725,0.0020523918937531854,0.5090957225520971,0.5140707852293466
18,sma_50,0.5332803872626881,0.0006040870030983303,-0.024578181444081817,0.03692622024192455,0.0020523918937531854,0.5090957225520971,0.5140707852293466
19,sma_50,0.5347553135163755,0.0006380381961332837,-0.02525941796901256,0.03750005191120737,0.0020523918937531854,0.5090957225520971,0.5140707852293466
20,sma_50,0.5347553135163755,0.0006722084075529988,-0.02592698222996636,0.03514846783761886,0.0020523918937531854,0.5090957225520971,0.5140707852293466
21,sma_50,0.5342258528099236,0.0007071711079275067,-0.026592688993921164,0.03485686628085852,0.0020523918937531854,0.5090957225520971,0.5140707852293466
22,sma_50,0.5352091369790485,0.0007419208524788168,-0.027238224106552595,0.03460579961873351,0.0020523918937531854,0.5090957225520971,0.5140707852293466
23,sma_50,0.5332425686407988,0.0007752269053399319,-0.027842896856108863,0.0286045767654673,0.0020523918937531854,0.5090957225520971,0.5140707852293466
24,sma_50,0.5355116859541639,0.000807696356905363,-0.028419999241825752,0.030626797034367544,0.0020523918937531854,0.5090957225520971,0.5140707852293466
1,sma_200,0.5091282519397535,3.758838237100104e-05,-0.006130936500331146,0.015068157223238178,0.0010326130919737057,0.509147617055266,0.49144804320016516
2,sma_200,0.5126274151833258,7.43256212211163e-05,-0.00862123084144134,0.01716755163436263,0.0010326130919737057,0.509147617055266,0.49144804320016516
3,sma_200,0.5181043663471778,0.00011402251761760684,-0.010678132684020306,0.0249147027813314,0.0010326130919737057,0.509147617055266,0.49144804320016516
4,sma_200,0.5191312946904001,0.00015452809547578106,-0.012430933009069087,0.026811069990550853,0.0010326130919737057,0.509147617055266,0.49144804320016516
5,sma_200,0.5212612201430092,0.00019714375889512414,-0.01404078911226486,0.023989545680291467,0.0010326130919737057,0.509147617055266,0.49144804320016516
6,sma_200,0.5205385668644454,0.00024018153053384506,-0.015497791150155003,0.019089584232434904,0.0010326130919737057,0.509147617055266,0.49144804320016516
7,sma_200,0.5207667731629393,0.0002812805660313833,-0.016771421109478105,0.01639576690892626,0.0010326130919737057,0.509147617055266,0.49144804320016516
8,sma_200,0.524456108321923,0.00032089762669651467,-0.017913615679040776,0.025579256706558518,0.0010326130919737057,0.509147617055266,0.49144804320016516
9,sma_200,0.5260915867944622,0.00035980367417087766,-0.01896849161558942,0.02567250895293821,0.0010326130919737057,0.509147617055266,0.49144804320016516
10,sma_200,0.5245321770880876,0.00039794700645878756,-0.019948609135950292,0.024609958467450257,0.0010326130919737057,0.509147617055266,0.49144804320016516
11,sma_200,0.5279552715654952,0.00043679887572756204,-0.02089973386738421,0.02747701123917577,0.0010326130919737057,0.509147617055266,0.49144804320016516
12,sma_200,0.5265479993914499,0.00047563278153672783,-0.02180900689019501,0.027042660109457103,0.0010326130919737057,0.509147617055266,0.49144804320016516
13,sma_200,0.5287159592271413,0.0005157376782507495,-0.02270985861362253,0.03113486573757574,0.0010326130919737057,0.509147617055266,0.49144804320016516
14,sma_200,0.5316446067244789,0.0005534539991207676,-0.02352560305541415,0.035129572449280985,0.0010326130919737057,0.509147617055266,0.49144804320016516
15,sma_200,0.5333561539631827,0.0005919989494737044,-0.024331028533001405,0.03648700270866172,0.0010326130919737057,0.509147617055266,0.49144804320016516
16,sma_200,0.5313403316598205,0.0006313103306863077,-0.02512588964965174,0.033405582558755996,0.0010326130919737057,0.509147617055266,0.49144804320016516
17,sma_200,0.5324433287692074,0.00066898211545241,-0.025864688582166992,0.034117646969963576,0.0010326130919737057,0.509147617055266,0.49144804320016516
18,sma_200,0.5333941883462651,0.0007081090012120983,-0.02661031757067466,0.03459540937264089,0.0010326130919737057,0.509147617055266,0.49144804320016516
19,sma_200,0.5349535980526395,0.000748933373381,-0.027366647097903304,0.03513185199131411,0.0010326130919737057,0.509147617055266,0.49144804320016516
20,sma_200,0.5349535980526395,0.0007899911072938304,-0.028106780450520723,0.03231269932923665,0.0010326130919737057,0.509147617055266,0.49144804320016516
21,sma_200,0.534497185455652,0.0008319690048381734,-0.02884387291676031,0.032006093810989976,0.0010326130919737057,0.509147617055266,0.49144804320016516
22,sma_200,0.5354480450327096,0.0008735983621639409,-0.029556697416386158,0.0316453158297253,0.0010326130919737057,0.509147617055266,0.49144804320016516
23,sma_200,0.5335843602616765,0.0009135502798682804,-0.03022499429062403,0.02549571340267516,0.0010326130919737057,0.509147617055266,0.49144804320016516
24,sma_200,0.5359424920127795,0.0009526019920667039,-0.030864251036867726,0.027361247935345633,0.0010326130919737057,0.509147617055266,0.49144804320016516
1,ema_20,0.5089653089728587,3.6770908101502187e-05,-0.006063902052439413,0.01577613068629622,0.0017003180702729527,0.5089845224613061,0.5024982284695115
2,ema_20,0.5123626892152051,7.224248897985674e-05,-0.008499558163806983,0.017587046033456538,0.0017003180702729527,0.5089845224613061,0.5024982284695115
3,ema_20,0.5174965082480842,0.00010987192632305742,-0.010481981030467654,0.02520559469079451,0.0017003180702729527,0.5089845224613061,0.5024982284695115
4,ema_20,0.5186289683288664,0.0001481462112806753,-0.012171532823800225,0.026888981386887167,0.0017003180702729527,0.5089845224613061,0.5024982284695115
5,ema_20,0.5209316371597901,0.00018850739586850906,-0.013729799556747375,0.02423751902454571,0.0017003180702729527,0.5089845224613061,0.5024982284695115
6,ema_20,0.520176663772602,0.00022976621230430538,-0.015158041176359768,0.019328050595303823,0.0017003180702729527,0.5089845224613061,0.5024982284695115
7,ema_20,0.5204031557887584,0.0002697496941015398,-0.016424058393148595,0.016740223330008654,0.0017003180702729527,0.5089845224613061,0.5024982284695115
8,ema_20,0.5242157713940584,0.0003085507693358913,-0.01756561326386443,0.025753121262976617,0.0017003180702729527,0.5089845224613061,0.5024982284695115
9,ema_20,0.5257257181684346,0.0003466833340457498,-0.018619434310562837,0.02640915426430149,0.0017003180702729527,0.5089845224613061,0.5024982284695115
10,ema_20,0.5238760333698237,0.0003839422577966989,-0.019594444564642245,0.025160290276739213,0.0017003180702729527,0.5089845224613061,0.5024982284695115
11,ema_20,0.527537654297686,0.00042159403969666,-0.02053275528751381,0.02832997431436491,0.0017003180702729527,0.5089845224613061,0.5024982284695115
12,ema_20,0.5260654561926692,0.00045896571512715756,-0.02142348513027106,0.02797717201206489,0.0017003180702729527,0.5089845224613061,0.5024982284695115
13,ema_20,0.5285191197010305,0.0004972165930994255,-0.022298354044623936,0.032009643864609964,0.0017003180702729527,0.5089845224613061,0.5024982284695115
14,ema_20,0.5311992752255483,0.0005329059102450184,-0.023084754931450444,0.03608563401481356,0.0017003180702729527,0.5089845224613061,0.5024982284695115
15,ema_20,0.5328979653467215,0.0005687463489763012,-0.023848403489043858,0.03759909778465603,0.0017003180702729527,0.5089845224613061,0.5024982284695115
16,ema_20,0.5308972858706731,0.0006047057135055711,-0.024590764801152774,0.03444228052831026,0.0017003180702729527,0.5089845224613061,0.5024982284695115
17,ema_20,0.5319542486127364,0.000638482690650366,-0.02526821502699139,0.0352039980839203,0.0017003180702729527,0.5089845224613061,0.5024982284695115
18,ema_20,0.5328979653467215,0.0006727200397212973,-0.025936847143037487,0.035780173014044576,0.0017003180702729527,0.5089845224613061,0.5024982284695115
19,ema_20,0.5344079121210977,0.0007078902136362641,-0.02660620629921323,0.03633037789977545,0.0017003180702729527,0.5089845224613061,0.5024982284695115
20,ema_20,0.5343701634517384,0.000742828021038644,-0.027254871510221625,0.03400445876576597,0.0017003180702729527,0.5089845224613061,0.5024982284695115
21,ema_20,0.5338416820807067,0.0007781761700126344,-0.027895809183686664,0.03362905126885603,0.0017003180702729527,0.5089845224613061,0.5024982284695115
22,ema_20,0.5348231474840512,0.0008127977105644169,-0.02850960733795553,0.03342944266471485,0.0017003180702729527,0.5089845224613061,0.5024982284695115
23,ema_20,0.5328979653467215,0.0008450324084557925,-0.029069441144538646,0.027465460316265566,0.0017003180702729527,0.5089845224613061,0.5024982284695115
24,ema_20,0.5351628855082858,0.0008752704677051915,-0.029584970300897996,0.029586120808211047,0.0017003180702729527,0.5089845224613061,0.5024982284695115
1,ema_50,0.5089653089728587,3.47696455041957e-05,-0.005896579135749782,0.01596569915850541,0.0019238009475653051,0.5089845224613061,0.5066380949336174
2,ema_50,0.5123626892152051,6.849606434278233e-05,-0.008276234913470423,0.01791252695557986,0.0019238009475653051,0.5089845224613061,0.5066380949336174
3,ema_50,0.5174965082480842,0.00010461988205379136,-0.010228386092330205,0.02565335590814198,0.0019238009475653051,0.5089845224613061,0.5066380949336174
4,ema_50,0.5186289683288664,0.00014135742210319435,-0.011889382746943697,0.027445537412812797,0.0019238009475653051,0.5089845224613061,0.5066380949336174
5,ema_50,0.5209316371597901,0.0001799620682543246,-0.013414994157822133,0.02477144890780961,0.0019238009475653051,0.5089845224613061,0.5066380949336174
6,ema_50,0.520176663772602,0.00021903106917209314,-0.01479969827975755,0.0199358050201145,0.0019238009475653051,0.5089845224613061,0.5066380949336174
7,ema_50,0.5204031557887584,0.00025641515450114394,-0.016012968322620433,0.01734052598214619,0.0019238009475653051,0.5089845224613061,0.5066380949336174
8,ema_50,0.5242157713940584,0.00029241342915331536,-0.01710010026734273,0.026471351709769872,0.0019238009475653051,0.5089845224613061,0.5066380949336174
9,ema_50,0.5257257181684346,0.00032765978785465055,-0.018101375302851407,0.02698730797652482,0.0019238009475653051,0.5089845224613061,0.5066380949336174
10,ema_50,0.5238760333698237,0.0003620518657001526,-0.01902766054196323,0.02581409938556881,0.0019238009475653051,0.5089845224613061,0.5066380949336174
11,ema_50,0.527537654297686,0.0003968956029786197,-0.019922238904769376,0.028960468979266404,0.0019238009475653051,0.5089845224613061,0.5066380949336174
12,ema_50,0.5260654561926692,0.00043150616127440866,-0.020772726380385957,0.028602932477465516,0.0019238009475653051,0.5089845224613061,0.5066380949336174
13,ema_50,0.5285191197010305,0.0004670491372419372,-0.021611319655260447,0.03268513678304464,0.0019238009475653051,0.5089845224613061,0.5066380949336174
14,ema_50,0.5311992752255483,0.000500193472332433,-0.022365005529451136,0.03679218435091341,0.0019238009475653051,0.5089845224613061,0.5066380949336174
15,ema_50,0.5328979653467215,0.0005337543173616899,-0.023103123541236083,0.03830373204553642,0.0019238009475653051,0.5089845224613061,0.5066380949336174
16,ema_50,0.5308972858706731,0.0005676982899798233,-0.023826419999238676,0.035151297361508974,0.0019238009475653051,0.5089845224613061,0.5066380949336174
17,ema_50,0.5319542486127364,0.0005998360272754244,-0.024491550119893166,0.03594650830505741,0.0019238009475653051,0.5089845224613061,0.5066380949336174
18,ema_50,0.5328979653467215,0.0006328661696304305,-0.025156831470405372,0.03654700330018799,0.0019238009475653051,0.5089845224613061,0.5066380949336174
19,ema_50,0.5344079121210977,0.0006671248836110921,-0.025828760783495743,0.03711742613601401,0.0019238009475653051,0.5089845224613061,0.5066380949336174
20,ema_50,0.5343701634517384,0.0007013898916972128,-0.02648376656930233,0.03475080761246098,0.0019238009475653051,0.5089845224613061,0.5066380949336174
21,ema_50,0.5338416820807067,0.0007362831719309737,-0.027134538358539916,0.03443477674594009,0.0019238009475653051,0.5089845224613061,0.5066380949336174
22,ema_50,0.5348231474840512,0.0007707482395507004,-0.02776235291812986,0.03419538020809848,0.0019238009475653051,0.5089845224613061,0.5066380949336174
23,ema_50,0.5328979653467215,0.0008033844271386759,-0.02834403688853553,0.028201427581347808,0.0019238009475653051,0.5089845224613061,0.5066380949336174
24,ema_50,0.5351628855082858,0.0008347668916253159,-0.02889233274807067,0.030263947885065826,0.0019238009475653051,0.5089845224613061,0.5066380949336174
1,ema_200,0.5089653089728587,3.45329064247446e-05,-0.0058764705755177645,0.015338241051595959,0.0014205126328181656,0.5089845224613061,0.4996424487809726
2,ema_200,0.5123626892152051,6.822259780514539e-05,-0.008259697198148763,0.01744878187401697,0.0014205126328181656,0.5089845224613061,0.4996424487809726
3,ema_200,0.5174965082480842,0.00010456435129724273,-0.010225671190537257,0.0251766759181665,0.0014205126328181656,0.5089845224613061,0.4996424487809726
4,ema_200,0.5186289683288664,0.00014158975779743344,-0.011899149456902496,0.02710354286034859,0.0014205126328181656,0.5089845224613061,0.4996424487809726
5,ema_200,0.5209316371597901,0.00018050909098321632,-0.013435367169643673,0.024319757657105603,0.0014205126328181656,0.5089845224613061,0.4996424487809726
6,ema_200,0.520176663772602,0.00021979195034060872,-0.014825381962720248,0.019502102139838218,0.0014205126328181656,0.5089845224613061,0.4996424487809726
7,ema_200,0.5204031557887584,0.00025726512735546603,-0.016039486505356988,0.016875789481322952,0.0014205126328181656,0.5089845224613061,0.4996424487809726
8,ema_200,0.5242157713940584,0.00029334198083419416,-0.017127229222329194,0.02610936399993218,0.0014205126328181656,0.5089845224613061,0.4996424487809726
9,ema_200,0.5257257181684346,0.0003287489360753737,-0.018131435025258047,0.026304226572275165,0.0014205126328181656,0.5089845224613061,0.4996424487809726
10,ema_200,0.5238760333698237,0.00036342965787505843,-0.01906383114369023,0.025240378145588993,0.0014205126328181656,0.5089845224613061,0.4996424487809726
11,ema_200,0.527537654297686,0.00039875508872821985,-0.01996885296476335,0.02815286661914843,0.0014205126328181656,0.5089845224613061,0.4996424487809726
12,ema_200,0.5260654561926692,0.00043400994813214133,-0.02083290541744126,0.027751475704788538,0.0014205126328181656,0.5089845224613061,0.4996424487809726
13,ema_200,0.5285191197010305,0.00047041985689222354,-0.021689164504247377,0.03187087011268544,0.0014205126328181656,0.5089845224613061,0.4996424487809726
14,ema_200,0.5311992752255483,0.0005045473113849397,-0.022462130606534063,0.035901891090103985,0.0014205126328181656,0.5089845224613061,0.4996424487809726
15,ema_200,0.5328979653467215,0.0005393796145556351,-0.02322454767171231,0.03729277946136758,0.0014205126328181656,0.5089845224613061,0.4996424487809726
16,ema_200,0.5308972858706731,0.0005748732028173498,-0.023976513566770604,0.03421811079636335,0.0014205126328181656,0.5089845224613061,0.4996424487809726
17,ema_200,0.5319542486127364,0.0006087760152836408,-0.02467338678178506,0.0349582083139297,0.0014205126328181656,0.5089845224613061,0.4996424487809726
18,ema_200,0.5328979653467215,0.0006439214485154388,-0.02537560735264706,0.035459608093186545,0.0014205126328181656,0.5089845224613061,0.4996424487809726
19,ema_200,0.5344079121210977,0.0006805900240994811,-0.026088120363480766,0.03604490656029185,0.0014205126328181656,0.5089845224613061,0.4996424487809726
20,ema_200,0.5343701634517384,0.0007174546180614971,-0.026785343344104626,0.03334648374308741,0.0014205126328181656,0.5089845224613061,0.4996424487809726
21,ema_200,0.5338416820807067,0.0007551548829480836,-0.027480081567350437,0.033076367980196315,0.0014205126328181656,0.5089845224613061,0.4996424487809726
22,ema_200,0.5348231474840512,0.0007926154259864093,-0.02815342654076597,0.032729616006410715,0.0014205126328181656,0.5089845224613061,0.4996424487809726
23,ema_200,0.5328979653467215,0.0008284589311852164,-0.028782962515789844,0.026560255290337228,0.0014205126328181656,0.5089845224613061,0.4996424487809726
24,ema_200,0.5351628855082858,0.0008633539982673133,-0.02938288614597631,0.028468547569868836,0.0014205126328181656,0.5089845224613061,0.4996424487809726
1,rsi_14,0.5187702998715915,4.808436250569592e-05,0.006934288896899131,-0.028111540817579946,-0.022158150677087336,0.5089700494769045,1.8691706243323822
2,rsi_14,0.5185814638567867,4.5475773836178845e-05,0.006743572779770743,-0.029433215151717138,-0.022158150677087336,0.5089700494769045,1.8691706243323822
3,rsi_14,0.5204698240048342,7.877102440090322e-05,0.008875304186376677,-0.023492057323805063,-0.022158150677087336,0.5089700494769045,1.8691706243323822
4,rsi_14,0.5185059294508648,7.643934587697743e-05,0.008742959789284806,-0.021610952088438048,-0.022158150677087336,0.5089700494769045,1.8691706243323822
5,rsi_14,0.5189969030893572,9.027656467019973e-05,0.009501398037664798,-0.01587824165629298,-0.022158150677087336,0.5089700494769045,1.8691706243323822
6,rsi_14,0.5155223204169499,0.00011675826801449407,0.010805473983794394,-0.008525576936238649,-0.022158150677087336,0.5089700494769045,1.8691706243323822
7,rsi_14,0.5165420348968955,0.00011754552124987327,0.010841841229697896,-0.00463084482436495,-0.022158150677087336,0.5089700494769045,1.8691706243323822
8,rsi_14,0.5232645970239445,0.0001528655425288017,0.012363880561090433,-0.0016275807186336263,-0.022158150677087336,0.5089700494769045,1.8691706243323822
9,rsi_14,0.5259083012312108,0.00020097225973614297,0.014176468521328513,0.006216907029036448,-0.022158150677087336,0.5089700494769045,1.8691706243323822
10,rsi_14,0.5240954754890853,0.0002185078064281809,0.01478200955311002,0.011139532565606394,-0.022158150677087336,0.5089700494769045,1.8691706243323822
11,rsi_14,0.5277211269733364,0.0001898565095522775,0.013778842823417606,0.013148803102617878,-0.022158150677087336,0.5089700494769045,1.8691706243323822
